transaction_id,amount,merchant_category,payment_method,hour,day_of_week,is_weekend,bank,transaction_date,is_agent_transaction,mandate_freshness_hours,scope_match_score,agent_drift_score,prior_txn_count_24h,avg_txn_amount_30d,new_recipient,device_fingerprint_match,geo_anomaly,label,attack_category,fraud_type
B2_00000205,4982.46,crypto,wallet,18,4,0,Paytm Payments Bank,2025-02-23 18:34:00,1,58.5,0.078,0.918,1,54.06,1,1,0,1,B2,B2
TXN00004273,6764.27,online_retail,net_banking,18,0,0,HDFC,2025-07-18 18:04:00,0,29.5,0.905,0.031,7,1118.46,0,1,0,0,benign,none
TXN00002407,129.25,travel,UPI,11,1,0,Airtel Payments Bank,2025-03-24 11:39:00,0,45.0,0.952,0.062,0,246.37,0,1,0,0,benign,none
TXN00004700,1019.56,restaurant,debit_card,20,3,0,SBI,2025-03-26 20:42:00,0,42.9,0.903,0.023,3,31.38,0,1,0,0,benign,none
TXN00004720,10.0,healthcare,credit_card,9,6,1,HDFC,2025-04-06 09:22:00,0,26.8,0.977,0.014,7,21.63,0,1,0,0,benign,none
TXN00004527,343.67,clothing,wallet,9,3,0,Axis,2025-04-19 09:14:00,1,52.6,0.933,0.103,4,58.27,0,1,0,0,benign,none
TXN00000624,571.37,entertainment,net_banking,6,1,0,Paytm Payments Bank,2025-08-24 06:55:00,0,24.1,0.902,0.062,5,1215.42,0,1,0,0,benign,none
B1_00000109,2591.05,unknown,debit_card,7,0,0,HDFC,2025-10-07 07:32:00,1,1.0,0.019,0.769,0,187.55,1,1,0,1,B1,B1
TXN00001328,195.81,entertainment,debit_card,18,3,0,Paytm Payments Bank,2025-11-07 18:26:00,0,60.1,0.905,0.117,2,167.99,0,1,0,0,benign,none
TXN00002919,1263.79,grocery,UPI,8,3,0,BOI,2025-07-27 08:22:00,0,63.2,0.932,0.104,0,548.55,0,1,0,0,benign,none
B1_00000257,2818.96,unknown,UPI,10,2,0,Axis,2025-05-12 10:53:00,1,33.9,0.005,0.854,1,44.66,1,1,0,1,B1,B1
D1_00000328,72.62,fuel,UPI,19,3,0,Kotak,2025-03-02 19:50:00,1,2.0,0.806,0.327,3,4929.48,0,1,0,1,D1,D1
TXN00003660,251.34,pharmacy,UPI,8,6,1,Union Bank,2025-06-24 08:48:00,0,53.4,0.883,0.116,5,112.25,0,1,0,0,benign,none
TXN00002287,14755.55,online_retail,UPI,15,0,0,ICICI,2025-01-04 15:25:00,0,12.7,0.98,0.045,4,433.06,0,1,0,0,benign,none
B1_00000240,4077.27,unknown,credit_card,13,4,0,Airtel Payments Bank,2025-12-24 13:40:00,1,58.5,0.019,0.736,1,164.35,1,1,0,1,B1,B1
B3_00000177,18673.74,unknown,debit_card,20,2,0,HDFC,2025-01-29 20:16:00,1,63.3,0.073,0.85,18,764.54,1,1,0,1,B3,B3
B2_00000080,521.48,unknown,UPI,10,2,0,SBI,2025-02-07 10:56:00,1,41.3,0.006,0.747,0,1834.86,1,1,0,1,B2,B2
TXN00000318,1452.8,entertainment,UPI,8,4,0,SBI,2025-10-30 08:20:00,1,51.4,0.86,0.006,0,365.93,0,0,0,0,benign,none
TXN00001002,116.04,clothing,debit_card,11,4,0,Airtel Payments Bank,2025-04-05 11:59:00,0,23.9,0.996,0.116,6,1450.22,0,1,0,0,benign,none
TXN00001046,92.96,healthcare,credit_card,12,3,0,Paytm Payments Bank,2025-07-11 12:55:00,0,25.8,0.942,0.041,3,97.75,0,1,0,0,benign,none
B1_00000103,1868.29,unknown,net_banking,12,1,0,Union Bank,2025-05-21 12:10:00,1,5.8,0.095,0.926,2,16.52,1,1,0,1,B1,B1
A1_00000296,49998.15026538975,unknown,debit_card,21,4,0,Paytm Payments Bank,2025-09-18 08:28:00,0,0.8,0.143,0.869,7,581.92,1,1,1,1,A1,A1
C1_00000206,147.40139382475718,fuel,debit_card,12,5,1,BOI,2025-09-17 12:47:00,1,17.1,0.966,0.062,0,85.89,0,1,0,1,C1,C1
B2_00000136,2084.68,crypto,net_banking,14,2,0,Axis,2025-11-01 14:17:00,1,18.3,0.064,0.83,2,88.29,1,1,0,1,B2,B2
TXN00000879,232.67,fuel,UPI,12,2,0,Kotak,2025-12-02 12:49:00,1,57.8,0.97,0.079,3,242.23,0,1,0,0,benign,none
TXN00000623,80.21,grocery,UPI,17,1,0,HDFC,2025-09-25 17:17:00,0,5.0,0.867,0.066,2,343.34,0,1,0,0,benign,none
E2_00000268,3658.16,fuel,debit_card,14,6,1,Kotak,2025-09-13 14:00:00,1,192.5,0.192,0.771,2,2472.04,0,1,1,1,E2,E2
TXN00003529,199.96,pharmacy,UPI,10,2,0,Paytm Payments Bank,2025-09-12 10:13:00,0,11.2,0.98,0.05,0,91.26,0,1,0,0,benign,none
TXN00001684,77.39,restaurant,UPI,18,2,0,ICICI,2025-07-16 18:28:00,0,9.1,0.952,0.117,2,145.83,0,1,0,0,benign,none
B2_00000305,1877.72,unknown,wallet,6,2,0,Kotak,2025-06-17 06:00:00,1,59.9,0.018,0.863,1,1232.97,1,1,0,1,B2,B2
TXN00000789,186.44,entertainment,credit_card,21,1,0,Paytm Payments Bank,2025-12-05 21:48:00,0,30.2,0.868,0.017,1,1092.36,0,0,0,0,benign,none
TXN00004382,575.17,grocery,UPI,9,2,0,ICICI,2025-01-30 09:57:00,0,13.8,0.88,0.029,6,147.23,0,1,0,0,benign,none
B1_00000037,867.0,unknown,debit_card,20,2,0,Kotak,2025-12-05 20:11:00,1,46.7,0.028,0.711,2,932.87,1,1,0,1,B1,B1
C1_00000162,147.40139382475718,travel,UPI,15,5,1,Airtel Payments Bank,2025-04-03 15:36:00,0,53.1,0.941,0.024,0,435.43,0,1,0,1,C1,C1
D1_00000119,370.69,pharmacy,UPI,12,1,0,Paytm Payments Bank,2025-02-06 12:47:00,0,16.9,0.717,0.246,2,91.73,1,1,0,1,D1,D1
B3_00000068,20234.99,unknown,wallet,10,6,1,BOI,2025-03-28 10:49:00,1,52.9,0.079,0.838,5,138.62,1,1,0,1,B3,B3
TXN00000763,770.03,clothing,net_banking,13,1,0,BOI,2025-05-01 13:39:00,0,47.5,0.942,0.108,6,20.38,1,1,0,0,benign,none
TXN00003050,1469.31,grocery,wallet,17,2,0,Union Bank,2025-10-24 17:03:00,0,16.0,0.861,0.093,0,369.39,0,1,0,0,benign,none
TXN00003589,91.41,travel,debit_card,17,5,1,PNB,2025-09-15 17:44:00,0,35.0,0.908,0.017,5,54.8,0,1,0,0,benign,none
TXN00004668,6871.63,healthcare,UPI,20,6,1,PNB,2025-02-16 20:31:00,0,32.8,0.917,0.106,4,60.44,0,1,0,0,benign,none
TXN00002706,502.98,clothing,debit_card,8,1,0,BOI,2025-10-28 08:06:00,0,16.9,0.927,0.081,6,113.45,0,1,0,0,benign,none
TXN00000330,3715.29,entertainment,credit_card,15,2,0,Union Bank,2025-05-25 15:07:00,0,55.8,0.888,0.015,3,150.85,0,1,0,0,benign,none
C2_00000165,15449.13348660162,pharmacy,credit_card,11,5,1,Union Bank,2025-09-23 11:44:00,0,34.6,0.934,0.034,1,37.82,1,1,0,1,C2,C2
TXN00000647,10.86,grocery,UPI,11,3,0,SBI,2025-02-21 11:25:00,0,6.3,0.988,0.086,1,220.95,0,1,0,0,benign,none
TXN00004483,369.78,grocery,UPI,8,1,0,BOI,2025-12-16 08:04:00,0,21.9,0.941,0.07,5,25.79,0,1,0,0,benign,none
TXN00000315,143.48,grocery,UPI,19,0,0,ICICI,2025-05-07 19:19:00,1,43.1,0.941,0.08,0,93.86,0,1,0,0,benign,none
TXN00001372,507.12,utilities,debit_card,8,2,0,BOI,2025-11-03 08:21:00,0,46.1,0.862,0.032,6,241.26,0,1,0,0,benign,none
A3_00000090,99998.51691040257,unknown,credit_card,20,1,0,SBI,2025-11-07 08:08:00,0,0.5,0.233,0.91,6,59.81,1,0,1,1,A3,A3
B1_00000274,4866.34,unknown,debit_card,13,2,0,Kotak,2025-10-24 13:43:00,1,20.8,0.123,0.94,1,60.1,1,1,0,1,B1,B1
A3_00000308,9999.27071060682,unknown,UPI,20,0,0,Paytm Payments Bank,2025-05-20 11:29:00,0,0.9,0.116,0.851,7,149.76,1,1,1,1,A3,A3
A2_00000313,9998.942675011827,crypto,UPI,9,2,0,Kotak,2025-07-16 20:30:00,0,0.5,0.147,0.721,4,240.15,1,1,0,1,A2,A2
A3_00000098,19998.328724513893,unknown,UPI,10,0,0,BOI,2025-06-25 06:16:00,0,0.5,0.252,0.937,5,135.78,1,1,1,1,A3,A3
E1_00000322,942.36,online_retail,wallet,15,6,1,Airtel Payments Bank,2025-11-15 15:05:00,1,167.2,0.354,0.475,6,27.75,0,1,0,1,E1,E1
TXN00004216,2158.43,utilities,credit_card,14,4,0,Union Bank,2025-02-19 14:24:00,0,52.8,0.889,0.038,1,166.02,0,1,0,0,benign,none
TXN00000321,173.61,grocery,UPI,19,5,1,Union Bank,2025-03-22 19:36:00,0,67.1,0.93,0.064,0,7.95,0,1,0,0,benign,none
C2_00000343,15449.13348660162,fuel,debit_card,11,5,1,Kotak,2025-02-03 11:13:00,0,16.4,0.994,0.025,0,53.95,0,1,0,1,C2,C2
TXN00000970,147.08,restaurant,debit_card,7,3,0,HDFC,2025-08-04 07:39:00,0,1.0,0.939,0.066,0,120.95,0,0,0,0,benign,none
A3_00000212,9999.880122317823,crypto,UPI,9,1,0,BOI,2025-02-03 17:30:00,0,0.4,0.209,0.823,5,306.41,1,1,1,1,A3,A3
B1_00000342,1096.76,unknown,credit_card,11,5,1,Paytm Payments Bank,2025-10-09 11:12:00,1,68.6,0.057,0.95,1,21.12,1,1,0,1,B1,B1
A2_00000072,4999.294624761179,online_retail,UPI,20,2,0,HDFC,2025-11-08 19:24:00,0,0.1,0.139,0.885,0,5.04,1,1,0,1,A2,A2
TXN00000567,75.55,clothing,debit_card,18,1,0,Axis,2025-08-12 18:04:00,0,4.6,0.933,0.046,6,425.26,0,1,0,0,benign,none
E1_00000097,54.07,travel,credit_card,11,4,0,BOI,2025-11-06 11:30:00,1,89.9,0.138,0.567,1,205.84,0,1,0,1,E1,E1
B3_00000149,9169.82,unknown,UPI,11,6,1,Union Bank,2025-12-23 11:49:00,1,42.3,0.003,0.9,6,174.19,1,1,0,1,B3,B3
TXN00000668,95.5,utilities,UPI,13,3,0,Axis,2025-11-13 13:59:00,0,14.0,0.978,0.09,3,113.39,0,1,0,0,benign,none
B3_00000314,48445.28,unknown,debit_card,19,6,1,Kotak,2025-03-06 19:50:00,1,34.2,0.064,0.808,11,29.96,1,1,1,1,B3,B3
D1_00000017,23.74,utilities,debit_card,22,6,1,PNB,2025-03-03 22:31:00,0,34.8,0.658,0.295,7,471.53,0,1,0,1,D1,D1
E1_00000062,23.35,grocery,credit_card,20,2,0,SBI,2025-06-29 20:10:00,1,126.5,0.366,0.678,5,380.46,0,1,0,1,E1,E1
TXN00000932,1993.31,travel,UPI,9,0,0,SBI,2025-04-21 09:58:00,0,43.0,0.933,0.076,1,547.77,1,1,0,0,benign,none
TXN00000076,113.4,entertainment,UPI,11,6,1,SBI,2025-05-03 11:45:00,0,52.3,0.918,0.072,7,173.54,0,1,0,0,benign,none
A2_00000137,19999.072459769002,crypto,UPI,9,0,0,Axis,2025-02-14 19:40:00,1,0.1,0.116,0.87,3,320.11,1,1,0,1,A2,A2
TXN00003454,3399.01,grocery,UPI,14,1,0,Kotak,2025-12-23 14:29:00,1,56.9,0.885,0.101,1,71.28,0,1,0,0,benign,none
TXN00004383,70.41,electronics,UPI,15,1,0,Airtel Payments Bank,2025-10-20 15:30:00,1,60.2,0.984,0.003,0,32.41,1,1,0,0,benign,none
E1_00000286,1304.51,restaurant,credit_card,11,0,0,ICICI,2025-12-25 11:44:00,1,101.8,0.234,0.568,5,179.53,0,1,0,1,E1,E1
TXN00001156,245.28,restaurant,debit_card,16,0,0,Union Bank,2025-07-29 16:50:00,0,22.2,0.997,0.056,1,234.58,0,1,0,0,benign,none
TXN00003095,31.79,fuel,UPI,20,3,0,BOI,2025-02-25 20:05:00,0,33.5,0.934,0.116,6,205.5,0,1,0,0,benign,none
TXN00002880,424.13,grocery,credit_card,20,5,1,Airtel Payments Bank,2025-04-22 20:57:00,0,71.3,0.997,0.069,6,41.27,0,1,0,0,benign,none
B2_00000339,3031.8,crypto,debit_card,17,4,0,Paytm Payments Bank,2025-07-26 17:35:00,1,41.9,0.001,0.984,0,178.14,1,1,0,1,B2,B2
TXN00004022,21.29,fuel,UPI,16,3,0,Airtel Payments Bank,2025-02-10 16:40:00,0,70.6,0.924,0.111,4,419.24,0,0,0,0,benign,none
TXN00004198,10.0,online_retail,debit_card,7,2,0,BOI,2025-07-01 07:39:00,0,24.6,0.888,0.109,2,81.98,1,1,0,0,benign,none
TXN00000940,358.13,travel,credit_card,12,1,0,Paytm Payments Bank,2025-08-22 12:04:00,0,70.5,0.937,0.056,0,155.95,0,1,0,0,benign,none
A1_00000282,998.7753484239114,online_retail,wallet,14,3,0,ICICI,2025-04-15 09:14:00,1,0.6,0.12,0.783,1,632.93,1,1,1,1,A1,A1
TXN00000093,211.98,electronics,debit_card,12,5,1,Airtel Payments Bank,2025-08-28 12:09:00,0,22.0,0.953,0.115,0,392.25,0,1,1,0,benign,none
A2_00000267,999.0916701853284,unknown,UPI,21,6,1,ICICI,2025-04-16 02:10:00,0,0.3,0.163,0.873,4,501.07,1,0,0,1,A2,A2
TXN00000286,393.35,electronics,UPI,8,5,1,BOI,2025-08-18 08:42:00,0,66.9,0.977,0.058,5,516.0,0,1,0,0,benign,none
A2_00000088,4999.855389391435,crypto,wallet,15,3,0,Kotak,2025-07-25 10:17:00,0,0.5,0.176,0.758,0,496.79,1,1,1,1,A2,A2
C1_00000147,147.40139382475718,electronics,net_banking,2,2,0,Union Bank,2025-07-26 02:51:00,1,48.8,0.951,0.119,1,26.22,1,0,0,1,C1,C1
TXN00001295,1120.88,fuel,UPI,12,5,1,ICICI,2025-10-03 12:03:00,1,52.1,0.922,0.027,2,136.04,0,1,0,0,benign,none
D2_00000010,3010.98,education,debit_card,14,3,0,Union Bank,2025-01-13 14:35:00,0,19.3,0.673,0.177,3,1593.51,1,1,0,1,D2,D2
B2_00000221,1939.34,crypto,credit_card,18,4,0,BOI,2025-09-25 18:45:00,1,28.8,0.057,0.803,2,218.21,1,1,0,1,B2,B2
A3_00000175,19998.244400737945,unknown,credit_card,20,1,0,HDFC,2025-05-11 15:38:00,0,0.0,0.119,0.842,5,46.85,1,0,1,1,A3,A3
A2_00000075,9999.460799088038,crypto,UPI,21,5,1,ICICI,2025-06-28 20:53:00,0,0.9,0.2,0.939,5,115.16,1,1,0,1,A2,A2
TXN00002088,78.82,utilities,UPI,15,5,1,Kotak,2025-08-24 15:41:00,0,18.8,0.948,0.068,6,26.2,0,1,0,0,benign,none
E2_00000011,24.17,travel,credit_card,17,6,1,PNB,2025-06-27 17:39:00,1,153.9,0.384,0.551,6,26.69,0,1,0,1,E2,E2
TXN00000248,45666.53,entertainment,credit_card,10,3,0,Airtel Payments Bank,2025-06-26 10:10:00,0,71.8,0.973,0.038,1,321.23,0,1,0,0,benign,none
TXN00001922,10.0,clothing,debit_card,9,4,0,HDFC,2025-09-17 09:52:00,1,26.0,0.982,0.08,0,301.56,0,1,0,0,benign,none
TXN00003535,22.1,restaurant,debit_card,8,5,1,PNB,2025-08-23 08:15:00,0,70.8,0.853,0.109,4,441.85,0,1,0,0,benign,none
TXN00001791,241.24,fuel,credit_card,16,3,0,Airtel Payments Bank,2025-01-03 16:05:00,0,37.4,0.9,0.022,2,821.0,0,1,0,0,benign,none
TXN00000765,10.0,education,debit_card,10,4,0,Axis,2025-08-10 10:14:00,1,53.1,1.0,0.032,7,113.38,0,1,0,0,benign,none
TXN00001603,18.93,restaurant,debit_card,12,5,1,HDFC,2025-01-14 12:25:00,0,64.5,0.9,0.021,7,53.82,0,1,0,0,benign,none
TXN00000047,365.94,pharmacy,UPI,7,3,0,Paytm Payments Bank,2025-03-16 07:24:00,0,0.2,0.995,0.041,6,785.28,0,1,0,0,benign,none
TXN00000761,767.91,restaurant,UPI,19,0,0,Paytm Payments Bank,2025-08-19 19:13:00,0,24.2,0.852,0.022,5,37.55,0,1,0,0,benign,none
TXN00004125,208.75,pharmacy,UPI,13,4,0,ICICI,2025-12-11 13:06:00,0,10.0,0.951,0.08,6,284.4,0,1,0,0,benign,none
A3_00000322,49999.96341123593,unknown,credit_card,14,5,1,HDFC,2025-10-05 11:59:00,1,0.4,0.124,0.647,0,47.04,1,1,1,1,A3,A3
TXN00002933,1638.43,grocery,UPI,21,1,0,SBI,2025-12-27 21:40:00,0,58.5,0.903,0.097,6,12389.82,0,1,0,0,benign,none
E1_00000299,45.19,clothing,UPI,10,0,0,Union Bank,2025-05-05 10:49:00,1,54.9,0.105,0.587,1,18.13,1,1,0,1,E1,E1
A1_00000288,49999.2725673072,crypto,credit_card,21,4,0,Paytm Payments Bank,2025-01-20 07:16:00,1,0.4,0.166,0.835,1,1502.82,1,1,0,1,A1,A1
TXN00004352,287.17,grocery,debit_card,6,6,1,SBI,2025-05-28 06:05:00,0,26.4,0.978,0.105,1,699.51,0,1,0,0,benign,none
B1_00000338,1851.38,unknown,UPI,19,4,0,BOI,2025-03-21 19:16:00,1,17.4,0.085,0.841,1,4627.78,1,1,0,1,B1,B1
A3_00000093,99998.58355920762,unknown,debit_card,10,6,1,Axis,2025-12-31 11:54:00,1,0.4,0.101,0.929,3,202.98,1,1,1,1,A3,A3
TXN00001662,203.41,restaurant,UPI,5,4,0,ICICI,2025-03-17 05:41:00,0,19.6,0.984,0.081,6,144.72,0,0,0,0,benign,none
B3_00000166,26549.44,unknown,debit_card,23,5,1,HDFC,2025-10-20 23:24:00,1,31.4,0.14,0.899,13,206.29,1,1,0,1,B3,B3
E2_00000328,427.53,restaurant,debit_card,9,3,0,Axis,2025-08-26 09:33:00,1,107.9,0.16,0.622,4,112.18,0,1,0,1,E2,E2
TXN00002132,123.91,healthcare,credit_card,15,2,0,SBI,2025-08-28 15:52:00,0,52.2,0.978,0.102,6,404.3,0,1,0,0,benign,none
B2_00000296,1976.59,crypto,UPI,10,2,0,Union Bank,2025-11-30 10:36:00,1,29.3,0.113,0.87,2,97.0,1,1,0,1,B2,B2
B1_00000053,902.59,crypto,credit_card,15,0,0,SBI,2025-06-16 15:34:00,1,10.0,0.003,0.853,2,93.08,1,1,0,1,B1,B1
TXN00002377,69.53,electronics,UPI,16,1,0,ICICI,2025-12-05 16:18:00,0,19.7,0.886,0.005,0,60.06,1,1,0,0,benign,none
TXN00001731,231.48,travel,debit_card,17,0,0,Axis,2025-08-05 17:34:00,0,55.6,0.903,0.089,6,87.97,0,1,0,0,benign,none
E1_00000000,2747.72,fuel,debit_card,9,6,1,Union Bank,2025-08-12 09:23:00,1,127.3,0.306,0.464,2,161.77,0,1,0,1,E1,E1
TXN00000637,32.98,restaurant,credit_card,9,2,0,Axis,2025-03-05 09:02:00,0,37.0,0.895,0.049,4,634.31,0,1,0,0,benign,none
B3_00000112,23430.47,unknown,credit_card,6,6,1,ICICI,2025-12-16 06:38:00,1,71.7,0.184,0.826,16,62.56,1,1,0,1,B3,B3
TXN00002465,60.74,online_retail,UPI,8,1,0,Paytm Payments Bank,2025-11-02 08:08:00,0,23.0,0.896,0.008,2,169.88,0,1,0,0,benign,none
TXN00003790,103.71,entertainment,UPI,13,2,0,Paytm Payments Bank,2025-02-14 13:45:00,0,8.3,0.906,0.06,7,215.75,0,1,0,0,benign,none
A3_00000006,9998.597360125961,unknown,debit_card,21,1,0,BOI,2025-07-13 12:33:00,0,0.7,0.19,0.832,2,1093.46,1,0,0,1,A3,A3
A3_00000141,19999.04358332985,crypto,UPI,20,4,0,HDFC,2025-09-08 17:01:00,0,0.4,0.17,0.634,5,1336.44,1,1,0,1,A3,A3
B2_00000189,3248.81,unknown,debit_card,22,3,0,BOI,2025-06-16 22:39:00,1,37.4,0.121,0.808,2,278.58,1,1,0,1,B2,B2
TXN00000457,53.4,restaurant,debit_card,20,5,1,Paytm Payments Bank,2025-12-06 20:43:00,0,7.4,0.956,0.048,0,3631.52,0,1,0,0,benign,none
TXN00003942,54.16,restaurant,UPI,19,4,0,Axis,2025-12-24 19:30:00,0,6.2,0.925,0.06,0,119.81,0,1,0,0,benign,none
TXN00001142,10.0,restaurant,UPI,17,0,0,Axis,2025-05-27 17:18:00,0,11.3,0.853,0.04,1,404.4,0,1,0,0,benign,none
B3_00000222,79123.82,unknown,debit_card,18,2,0,Paytm Payments Bank,2025-12-24 18:45:00,1,58.8,0.11,0.924,16,9.81,1,1,0,1,B3,B3
TXN00004528,68.89,travel,debit_card,12,3,0,PNB,2025-09-20 12:07:00,0,69.4,0.896,0.016,4,93.34,0,1,0,0,benign,none
E2_00000253,73.72,travel,debit_card,12,1,0,PNB,2025-01-26 12:04:00,1,107.6,0.295,0.698,4,245.62,0,1,0,1,E2,E2
TXN00001516,67.57,utilities,credit_card,17,0,0,SBI,2025-06-22 17:58:00,1,66.0,0.856,0.002,4,51.03,1,1,0,0,benign,none
TXN00002221,61.37,online_retail,debit_card,20,6,1,Kotak,2025-11-18 20:20:00,0,71.4,0.883,0.099,3,247.0,0,1,0,0,benign,none
A3_00000119,4998.496450738186,unknown,net_banking,20,4,0,ICICI,2025-05-22 11:57:00,0,0.0,0.246,0.671,4,852.82,1,1,1,1,A3,A3
TXN00000360,185.95,clothing,debit_card,0,1,0,Union Bank,2025-02-15 00:04:00,0,71.6,0.935,0.063,1,119.36,0,1,0,0,benign,none
TXN00000586,29.43,healthcare,credit_card,19,2,0,Airtel Payments Bank,2025-07-24 19:53:00,0,10.1,0.953,0.109,7,70.3,0,1,0,0,benign,none
B2_00000162,2751.25,crypto,UPI,10,3,0,Airtel Payments Bank,2025-06-11 10:42:00,1,18.7,0.001,0.827,0,18.77,1,1,0,1,B2,B2
D2_00000162,3111.04,restaurant,UPI,12,4,0,Airtel Payments Bank,2025-08-28 12:09:00,0,61.4,0.611,0.322,2,6.92,0,1,0,1,D2,D2
E2_00000262,109.97,pharmacy,debit_card,19,2,0,Axis,2025-04-21 19:45:00,1,53.1,0.263,0.7,7,12905.38,0,1,0,1,E2,E2
TXN00003002,8425.6,travel,UPI,9,4,0,PNB,2025-08-06 09:44:00,0,53.1,0.886,0.101,1,153.34,0,1,0,0,benign,none
TXN00000563,61.68,electronics,debit_card,12,3,0,PNB,2025-02-09 12:35:00,0,43.5,0.941,0.072,4,338.57,0,1,0,0,benign,none
TXN00001501,79.5,online_retail,UPI,0,1,0,Union Bank,2025-04-07 00:24:00,0,11.6,0.89,0.044,6,300.73,0,1,0,0,benign,none
TXN00003355,10.0,grocery,net_banking,19,1,0,Airtel Payments Bank,2025-05-14 19:28:00,0,8.5,0.869,0.08,5,238.72,0,1,0,0,benign,none
TXN00002816,17.59,entertainment,UPI,9,3,0,Union Bank,2025-02-07 09:30:00,0,6.7,0.871,0.107,5,11.87,1,1,0,0,benign,none
TXN00002840,180.88,clothing,credit_card,10,4,0,Union Bank,2025-03-11 10:33:00,0,20.8,0.943,0.052,7,15.61,0,1,1,0,benign,none
TXN00001817,1311.27,restaurant,credit_card,6,6,1,ICICI,2025-11-26 06:22:00,1,42.1,0.999,0.015,0,36.77,0,1,0,0,benign,none
TXN00003018,483.74,pharmacy,debit_card,10,4,0,Kotak,2025-02-21 10:23:00,0,9.7,0.927,0.027,4,47.86,0,1,0,0,benign,none
B2_00000289,3574.39,unknown,credit_card,9,5,1,SBI,2025-12-09 09:29:00,1,47.9,0.136,0.859,2,22.64,1,1,0,1,B2,B2
E2_00000127,145.43,restaurant,credit_card,19,2,0,PNB,2025-07-15 19:25:00,1,128.3,0.163,0.572,1,445.0,0,1,0,1,E2,E2
TXN00001430,150.25,grocery,wallet,9,6,1,PNB,2025-05-19 09:50:00,0,68.6,0.979,0.043,4,1042.39,0,1,0,0,benign,none
TXN00001111,150.05,healthcare,credit_card,19,3,0,BOI,2025-05-24 19:26:00,0,63.4,0.99,0.017,2,58.23,0,1,0,0,benign,none
TXN00004477,96.55,education,net_banking,18,6,1,Axis,2025-07-04 18:51:00,0,36.9,0.858,0.09,2,259.64,0,1,0,0,benign,none
E1_00000126,17401.23,clothing,UPI,18,3,0,Axis,2025-02-04 18:47:00,1,111.9,0.102,0.703,6,26.21,0,1,0,1,E1,E1
TXN00001918,138.23,clothing,credit_card,21,1,0,Airtel Payments Bank,2025-10-27 21:46:00,1,62.6,0.954,0.02,5,108.4,0,1,0,0,benign,none
B2_00000215,574.92,unknown,UPI,18,6,1,PNB,2025-10-30 18:26:00,1,52.5,0.014,0.975,0,87.47,1,1,0,1,B2,B2
C1_00000130,147.40139382475718,electronics,credit_card,11,5,1,HDFC,2025-01-22 11:48:00,0,23.8,0.894,0.025,1,1121.36,1,1,0,1,C1,C1
E1_00000302,3208.93,restaurant,debit_card,19,6,1,BOI,2025-07-08 19:23:00,1,199.9,0.304,0.782,2,438.12,0,1,0,1,E1,E1
