transaction_id,amount,merchant_category,payment_method,hour,day_of_week,is_weekend,bank,transaction_date,is_agent_transaction,mandate_freshness_hours,scope_match_score,agent_drift_score,prior_txn_count_24h,avg_txn_amount_30d,new_recipient,device_fingerprint_match,geo_anomaly,label,attack_category,fraud_type
TXN00004273,6764.27,online_retail,net_banking,18,0,0,HDFC,2025-07-18 18:04:00,0,29.5,0.905,0.031,7,1118.46,0,1,0,0,benign,none
TXN00002407,129.25,travel,UPI,11,1,0,Airtel Payments Bank,2025-03-24 11:39:00,0,45.0,0.952,0.062,0,246.37,0,1,0,0,benign,none
TXN00004700,1019.56,restaurant,debit_card,20,3,0,SBI,2025-03-26 20:42:00,0,42.9,0.903,0.023,3,31.38,0,1,0,0,benign,none
TXN00004720,10.0,healthcare,credit_card,9,6,1,HDFC,2025-04-06 09:22:00,0,26.8,0.977,0.014,7,21.63,0,1,0,0,benign,none
TXN00004527,343.67,clothing,wallet,9,3,0,Axis,2025-04-19 09:14:00,1,52.6,0.933,0.103,4,58.27,0,1,0,0,benign,none
TXN00000624,571.37,entertainment,net_banking,6,1,0,Paytm Payments Bank,2025-08-24 06:55:00,0,24.1,0.902,0.062,5,1215.42,0,1,0,0,benign,none
TXN00001328,195.81,entertainment,debit_card,18,3,0,Paytm Payments Bank,2025-11-07 18:26:00,0,60.1,0.905,0.117,2,167.99,0,1,0,0,benign,none
TXN00002919,1263.79,grocery,UPI,8,3,0,BOI,2025-07-27 08:22:00,0,63.2,0.932,0.104,0,548.55,0,1,0,0,benign,none
TXN00003660,251.34,pharmacy,UPI,8,6,1,Union Bank,2025-06-24 08:48:00,0,53.4,0.883,0.116,5,112.25,0,1,0,0,benign,none
TXN00002287,14755.55,online_retail,UPI,15,0,0,ICICI,2025-01-04 15:25:00,0,12.7,0.98,0.045,4,433.06,0,1,0,0,benign,none
TXN00000318,1452.8,entertainment,UPI,8,4,0,SBI,2025-10-30 08:20:00,1,51.4,0.86,0.006,0,365.93,0,0,0,0,benign,none
TXN00001002,116.04,clothing,debit_card,11,4,0,Airtel Payments Bank,2025-04-05 11:59:00,0,23.9,0.996,0.116,6,1450.22,0,1,0,0,benign,none
TXN00001046,92.96,healthcare,credit_card,12,3,0,Paytm Payments Bank,2025-07-11 12:55:00,0,25.8,0.942,0.041,3,97.75,0,1,0,0,benign,none
