transaction_id,amount,merchant_category,payment_method,hour,day_of_week,is_weekend,bank,transaction_date,is_agent_transaction,mandate_freshness_hours,scope_match_score,agent_drift_score,prior_txn_count_24h,avg_txn_amount_30d,new_recipient,device_fingerprint_match,geo_anomaly,label,attack_category,fraud_type
B2_00000205,4982.46,crypto,wallet,18,4,0,Paytm Payments Bank,2025-02-23 18:34:00,1,58.5,0.078,0.918,1,54.06,1,1,0,1,B2,B2
B1_00000109,2591.05,unknown,debit_card,7,0,0,HDFC,2025-10-07 07:32:00,1,1.0,0.019,0.769,0,187.55,1,1,0,1,B1,B1
B1_00000257,2818.96,unknown,UPI,10,2,0,Axis,2025-05-12 10:53:00,1,33.9,0.005,0.854,1,44.66,1,1,0,1,B1,B1
D1_00000328,72.62,fuel,UPI,19,3,0,Kotak,2025-03-02 19:50:00,1,2.0,0.806,0.327,3,4929.48,0,1,0,1,D1,D1
B1_00000240,4077.27,unknown,credit_card,13,4,0,Airtel Payments Bank,2025-12-24 13:40:00,1,58.5,0.019,0.736,1,164.35,1,1,0,1,B1,B1
B3_00000177,18673.74,unknown,debit_card,20,2,0,HDFC,2025-01-29 20:16:00,1,63.3,0.073,0.85,18,764.54,1,1,0,1,B3,B3
B2_00000080,521.48,unknown,UPI,10,2,0,SBI,2025-02-07 10:56:00,1,41.3,0.006,0.747,0,1834.86,1,1,0,1,B2,B2
B1_00000103,1868.29,unknown,net_banking,12,1,0,Union Bank,2025-05-21 12:10:00,1,5.8,0.095,0.926,2,16.52,1,1,0,1,B1,B1
A1_00000296,49998.15026538975,unknown,debit_card,21,4,0,Paytm Payments Bank,2025-09-18 08:28:00,0,0.8,0.143,0.869,7,581.92,1,1,1,1,A1,A1
C1_00000206,147.40139382475718,fuel,debit_card,12,5,1,BOI,2025-09-17 12:47:00,1,17.1,0.966,0.062,0,85.89,0,1,0,1,C1,C1
B2_00000136,2084.68,crypto,net_banking,14,2,0,Axis,2025-11-01 14:17:00,1,18.3,0.064,0.83,2,88.29,1,1,0,1,B2,B2
E2_00000268,3658.16,fuel,debit_card,14,6,1,Kotak,2025-09-13 14:00:00,1,192.5,0.192,0.771,2,2472.04,0,1,1,1,E2,E2
B2_00000305,1877.72,unknown,wallet,6,2,0,Kotak,2025-06-17 06:00:00,1,59.9,0.018,0.863,1,1232.97,1,1,0,1,B2,B2
B1_00000037,867.0,unknown,debit_card,20,2,0,Kotak,2025-12-05 20:11:00,1,46.7,0.028,0.711,2,932.87,1,1,0,1,B1,B1
C1_00000162,147.40139382475718,travel,UPI,15,5,1,Airtel Payments Bank,2025-04-03 15:36:00,0,53.1,0.941,0.024,0,435.43,0,1,0,1,C1,C1
D1_00000119,370.69,pharmacy,UPI,12,1,0,Paytm Payments Bank,2025-02-06 12:47:00,0,16.9,0.717,0.246,2,91.73,1,1,0,1,D1,D1
B3_00000068,20234.99,unknown,wallet,10,6,1,BOI,2025-03-28 10:49:00,1,52.9,0.079,0.838,5,138.62,1,1,0,1,B3,B3
C2_00000165,15449.13348660162,pharmacy,credit_card,11,5,1,Union Bank,2025-09-23 11:44:00,0,34.6,0.934,0.034,1,37.82,1,1,0,1,C2,C2
A3_00000090,99998.51691040257,unknown,credit_card,20,1,0,SBI,2025-11-07 08:08:00,0,0.5,0.233,0.91,6,59.81,1,0,1,1,A3,A3
B1_00000274,4866.34,unknown,debit_card,13,2,0,Kotak,2025-10-24 13:43:00,1,20.8,0.123,0.94,1,60.1,1,1,0,1,B1,B1
A3_00000308,9999.27071060682,unknown,UPI,20,0,0,Paytm Payments Bank,2025-05-20 11:29:00,0,0.9,0.116,0.851,7,149.76,1,1,1,1,A3,A3
A2_00000313,9998.942675011827,crypto,UPI,9,2,0,Kotak,2025-07-16 20:30:00,0,0.5,0.147,0.721,4,240.15,1,1,0,1,A2,A2
A3_00000098,19998.328724513893,unknown,UPI,10,0,0,BOI,2025-06-25 06:16:00,0,0.5,0.252,0.937,5,135.78,1,1,1,1,A3,A3
E1_00000322,942.36,online_retail,wallet,15,6,1,Airtel Payments Bank,2025-11-15 15:05:00,1,167.2,0.354,0.475,6,27.75,0,1,0,1,E1,E1
C2_00000343,15449.13348660162,fuel,debit_card,11,5,1,Kotak,2025-02-03 11:13:00,0,16.4,0.994,0.025,0,53.95,0,1,0,1,C2,C2
A3_00000212,9999.880122317823,crypto,UPI,9,1,0,BOI,2025-02-03 17:30:00,0,0.4,0.209,0.823,5,306.41,1,1,1,1,A3,A3
B1_00000342,1096.76,unknown,credit_card,11,5,1,Paytm Payments Bank,2025-10-09 11:12:00,1,68.6,0.057,0.95,1,21.12,1,1,0,1,B1,B1
A2_00000072,4999.294624761179,online_retail,UPI,20,2,0,HDFC,2025-11-08 19:24:00,0,0.1,0.139,0.885,0,5.04,1,1,0,1,A2,A2
E1_00000097,54.07,travel,credit_card,11,4,0,BOI,2025-11-06 11:30:00,1,89.9,0.138,0.567,1,205.84,0,1,0,1,E1,E1
B3_00000149,9169.82,unknown,UPI,11,6,1,Union Bank,2025-12-23 11:49:00,1,42.3,0.003,0.9,6,174.19,1,1,0,1,B3,B3
B3_00000314,48445.28,unknown,debit_card,19,6,1,Kotak,2025-03-06 19:50:00,1,34.2,0.064,0.808,11,29.96,1,1,1,1,B3,B3
D1_00000017,23.74,utilities,debit_card,22,6,1,PNB,2025-03-03 22:31:00,0,34.8,0.658,0.295,7,471.53,0,1,0,1,D1,D1
E1_00000062,23.35,grocery,credit_card,20,2,0,SBI,2025-06-29 20:10:00,1,126.5,0.366,0.678,5,380.46,0,1,0,1,E1,E1
A2_00000137,19999.072459769002,crypto,UPI,9,0,0,Axis,2025-02-14 19:40:00,1,0.1,0.116,0.87,3,320.11,1,1,0,1,A2,A2
E1_00000286,1304.51,restaurant,credit_card,11,0,0,ICICI,2025-12-25 11:44:00,1,101.8,0.234,0.568,5,179.53,0,1,0,1,E1,E1
B2_00000339,3031.8,crypto,debit_card,17,4,0,Paytm Payments Bank,2025-07-26 17:35:00,1,41.9,0.001,0.984,0,178.14,1,1,0,1,B2,B2
A1_00000282,998.7753484239114,online_retail,wallet,14,3,0,ICICI,2025-04-15 09:14:00,1,0.6,0.12,0.783,1,632.93,1,1,1,1,A1,A1
A2_00000267,999.0916701853284,unknown,UPI,21,6,1,ICICI,2025-04-16 02:10:00,0,0.3,0.163,0.873,4,501.07,1,0,0,1,A2,A2
A2_00000088,4999.855389391435,crypto,wallet,15,3,0,Kotak,2025-07-25 10:17:00,0,0.5,0.176,0.758,0,496.79,1,1,1,1,A2,A2
C1_00000147,147.40139382475718,electronics,net_banking,2,2,0,Union Bank,2025-07-26 02:51:00,1,48.8,0.951,0.119,1,26.22,1,0,0,1,C1,C1
D2_00000010,3010.98,education,debit_card,14,3,0,Union Bank,2025-01-13 14:35:00,0,19.3,0.673,0.177,3,1593.51,1,1,0,1,D2,D2
B2_00000221,1939.34,crypto,credit_card,18,4,0,BOI,2025-09-25 18:45:00,1,28.8,0.057,0.803,2,218.21,1,1,0,1,B2,B2
A3_00000175,19998.244400737945,unknown,credit_card,20,1,0,HDFC,2025-05-11 15:38:00,0,0.0,0.119,0.842,5,46.85,1,0,1,1,A3,A3
A2_00000075,9999.460799088038,crypto,UPI,21,5,1,ICICI,2025-06-28 20:53:00,0,0.9,0.2,0.939,5,115.16,1,1,0,1,A2,A2
E2_00000011,24.17,travel,credit_card,17,6,1,PNB,2025-06-27 17:39:00,1,153.9,0.384,0.551,6,26.69,0,1,0,1,E2,E2
A3_00000322,49999.96341123593,unknown,credit_card,14,5,1,HDFC,2025-10-05 11:59:00,1,0.4,0.124,0.647,0,47.04,1,1,1,1,A3,A3
E1_00000299,45.19,clothing,UPI,10,0,0,Union Bank,2025-05-05 10:49:00,1,54.9,0.105,0.587,1,18.13,1,1,0,1,E1,E1
A1_00000288,49999.2725673072,crypto,credit_card,21,4,0,Paytm Payments Bank,2025-01-20 07:16:00,1,0.4,0.166,0.835,1,1502.82,1,1,0,1,A1,A1
B1_00000338,1851.38,unknown,UPI,19,4,0,BOI,2025-03-21 19:16:00,1,17.4,0.085,0.841,1,4627.78,1,1,0,1,B1,B1
A3_00000093,99998.58355920762,unknown,debit_card,10,6,1,Axis,2025-12-31 11:54:00,1,0.4,0.101,0.929,3,202.98,1,1,1,1,A3,A3
B3_00000166,26549.44,unknown,debit_card,23,5,1,HDFC,2025-10-20 23:24:00,1,31.4,0.14,0.899,13,206.29,1,1,0,1,B3,B3
E2_00000328,427.53,restaurant,debit_card,9,3,0,Axis,2025-08-26 09:33:00,1,107.9,0.16,0.622,4,112.18,0,1,0,1,E2,E2
B2_00000296,1976.59,crypto,UPI,10,2,0,Union Bank,2025-11-30 10:36:00,1,29.3,0.113,0.87,2,97.0,1,1,0,1,B2,B2
B1_00000053,902.59,crypto,credit_card,15,0,0,SBI,2025-06-16 15:34:00,1,10.0,0.003,0.853,2,93.08,1,1,0,1,B1,B1
E1_00000000,2747.72,fuel,debit_card,9,6,1,Union Bank,2025-08-12 09:23:00,1,127.3,0.306,0.464,2,161.77,0,1,0,1,E1,E1
B3_00000112,23430.47,unknown,credit_card,6,6,1,ICICI,2025-12-16 06:38:00,1,71.7,0.184,0.826,16,62.56,1,1,0,1,B3,B3
A3_00000006,9998.597360125961,unknown,debit_card,21,1,0,BOI,2025-07-13 12:33:00,0,0.7,0.19,0.832,2,1093.46,1,0,0,1,A3,A3
A3_00000141,19999.04358332985,crypto,UPI,20,4,0,HDFC,2025-09-08 17:01:00,0,0.4,0.17,0.634,5,1336.44,1,1,0,1,A3,A3
B2_00000189,3248.81,unknown,debit_card,22,3,0,BOI,2025-06-16 22:39:00,1,37.4,0.121,0.808,2,278.58,1,1,0,1,B2,B2
B3_00000222,79123.82,unknown,debit_card,18,2,0,Paytm Payments Bank,2025-12-24 18:45:00,1,58.8,0.11,0.924,16,9.81,1,1,0,1,B3,B3
E2_00000253,73.72,travel,debit_card,12,1,0,PNB,2025-01-26 12:04:00,1,107.6,0.295,0.698,4,245.62,0,1,0,1,E2,E2
A3_00000119,4998.496450738186,unknown,net_banking,20,4,0,ICICI,2025-05-22 11:57:00,0,0.0,0.246,0.671,4,852.82,1,1,1,1,A3,A3
B2_00000162,2751.25,crypto,UPI,10,3,0,Airtel Payments Bank,2025-06-11 10:42:00,1,18.7,0.001,0.827,0,18.77,1,1,0,1,B2,B2
D2_00000162,3111.04,restaurant,UPI,12,4,0,Airtel Payments Bank,2025-08-28 12:09:00,0,61.4,0.611,0.322,2,6.92,0,1,0,1,D2,D2
E2_00000262,109.97,pharmacy,debit_card,19,2,0,Axis,2025-04-21 19:45:00,1,53.1,0.263,0.7,7,12905.38,0,1,0,1,E2,E2
B2_00000289,3574.39,unknown,credit_card,9,5,1,SBI,2025-12-09 09:29:00,1,47.9,0.136,0.859,2,22.64,1,1,0,1,B2,B2
E2_00000127,145.43,restaurant,credit_card,19,2,0,PNB,2025-07-15 19:25:00,1,128.3,0.163,0.572,1,445.0,0,1,0,1,E2,E2
E1_00000126,17401.23,clothing,UPI,18,3,0,Axis,2025-02-04 18:47:00,1,111.9,0.102,0.703,6,26.21,0,1,0,1,E1,E1
B2_00000215,574.92,unknown,UPI,18,6,1,PNB,2025-10-30 18:26:00,1,52.5,0.014,0.975,0,87.47,1,1,0,1,B2,B2
C1_00000130,147.40139382475718,electronics,credit_card,11,5,1,HDFC,2025-01-22 11:48:00,0,23.8,0.894,0.025,1,1121.36,1,1,0,1,C1,C1
E1_00000302,3208.93,restaurant,debit_card,19,6,1,BOI,2025-07-08 19:23:00,1,199.9,0.304,0.782,2,438.12,0,1,0,1,E1,E1
B2_00000286,1065.82,unknown,UPI,7,5,1,HDFC,2025-05-11 07:07:00,1,24.1,0.13,0.934,2,374.59,1,1,0,1,B2,B2
D2_00000247,408.91,grocery,UPI,8,5,1,Paytm Payments Bank,2025-04-19 08:42:00,0,30.2,0.808,0.299,0,186.99,1,1,0,1,D2,D2
E1_00000311,528.96,pharmacy,credit_card,10,5,1,Airtel Payments Bank,2025-06-05 10:41:00,1,83.1,0.113,0.662,4,108.12,0,1,0,1,E1,E1
B1_00000260,1716.6,unknown,UPI,11,1,0,PNB,2025-07-12 11:18:00,1,32.7,0.136,0.82,1,1468.58,1,1,0,1,B1,B1
C1_00000204,147.40139382475718,restaurant,debit_card,18,4,0,Union Bank,2025-06-01 18:46:00,0,2.3,0.857,0.081,1,357.0,1,1,0,1,C1,C1
A1_00000274,49998.31227096278,crypto,UPI,11,1,0,Kotak,2025-05-01 11:41:00,0,0.1,0.119,0.856,2,106.28,1,1,0,1,A1,A1
D1_00000331,225.17,grocery,UPI,19,3,0,BOI,2025-04-10 19:59:00,0,55.9,0.655,0.188,7,49.73,1,1,0,1,D1,D1
A1_00000039,4998.175535773519,crypto,UPI,16,0,0,BOI,2025-04-12 14:01:00,0,0.9,0.25,0.68,1,106.08,1,1,1,1,A1,A1
D2_00000293,35.08,grocery,credit_card,16,2,0,PNB,2025-02-07 16:23:00,0,45.6,0.635,0.169,4,319.48,1,1,0,1,D2,D2
E1_00000156,499.72,education,UPI,17,5,1,Paytm Payments Bank,2025-05-05 17:00:00,1,150.4,0.31,0.644,7,499.7,0,1,0,1,E1,E1
B1_00000258,1902.53,unknown,UPI,14,0,0,Union Bank,2025-07-11 14:08:00,1,38.7,0.014,0.744,0,5.46,1,1,0,1,B1,B1
